data,selic,ipca,dbrl_usd
2021-02-28,2.0,0.86,1.119508197225083
2021-03-31,2.75,0.93,4.151519092523137
2021-04-30,2.75,0.31,-1.498930653437358
2021-05-31,3.5,0.83,-4.994957103205144
2021-06-30,4.25,0.53,-5.0228517375609405
2021-07-31,4.25,0.96,2.4499193633401806
2021-08-31,5.25,0.87,1.8254993692268684
2021-09-30,6.25,1.16,0.5317444209785194
2021-10-31,7.75,1.25,4.812522283705456
2021-11-30,7.75,0.95,0.3045898055457519
2021-12-31,9.25,0.73,1.6862903260039586
2022-01-31,9.25,0.54,-2.097435076118326
2022-02-28,10.75,1.01,-6.292438573058923
2022-03-31,11.75,1.62,-4.490670889501547
2022-04-30,11.75,1.06,-4.327044480713549
2022-05-31,12.75,0.47,4.058993733225114
2022-06-30,13.25,0.67,1.8812465683552437
2022-07-31,13.25,-0.68,6.124421351136666
2022-08-31,13.75,-0.36,-4.277913160337743
2022-09-30,13.75,-0.29,1.805391849279192
2022-10-31,13.75,0.59,0.2536402530733728
2022-11-30,13.75,0.41,0.4636587878855458
2022-12-31,13.75,0.62,-0.6142396963789931
2023-01-31,13.75,0.53,-0.7986176830990788
2023-02-28,13.75,0.84,-0.5591777325253622
2023-03-31,13.75,0.71,0.7666267610334287
2023-04-30,13.75,0.61,-3.7497551235534443
2023-05-31,13.75,0.23,-0.7378188931904894
2023-06-30,13.75,-0.08,-2.6683434577212006
2023-07-31,13.75,0.12,-1.0525976759422573
2023-08-31,13.25,0.23,2.1166665157072106
2023-09-30,12.75,0.26,0.6808623426487914
2023-10-31,12.75,0.24,2.555679097105368
2023-11-30,12.25,0.28,-3.3426444103889397
2023-12-31,11.75,0.56,-0.022459292626697547
2024-01-31,11.75,0.42,0.35060576499572615
2024-02-29,11.25,0.83,1.01227734056486
2024-03-31,10.75,0.16,0.31575268830106307
2024-04-30,10.75,0.38,2.9480234038796516
2024-05-31,10.5,0.46,0.07600783831298585
2024-06-30,10.5,0.21,4.866955537319351
2024-07-31,10.5,0.38,2.7995607489426977
2024-08-31,10.5,-0.02,0.19108400889304988
2024-09-30,10.75,0.44,-0.1983018803458858
2024-10-31,10.75,0.56,1.4777667562860142
2024-11-30,11.25,0.39,3.2020371548354243
2024-12-31,12.25,0.52,4.871554008820644
