,fedfunds,cpi,ddxy
2021-02-28,0.08,0.33956762230333837,0.7825410059274063
2021-03-31,0.07,0.524320981565296,0.8760545585254853
2021-04-30,0.07,0.6238653990587206,-1.540042645887496
2021-05-31,0.06,0.6635060424433847,-1.190366840161694
2021-06-30,0.08,0.8461787818155431,1.608285762937367
2021-07-31,0.1,0.4614747980816958,0.10487305417585802
2021-08-31,0.09,0.2842925602144719,0.38639602683359087
2021-09-30,0.08,0.4525517463950024,1.3459822369048524
2021-10-31,0.08,0.9638202329232071,-0.4418318263358145
2021-11-30,0.08,0.8566262881938069,1.799286195945804
2021-12-31,0.08,0.6905230550805275,-0.7983969152856041
2022-01-31,0.08,0.6046039630400957,0.24518203827561535
2022-02-28,0.08,0.6926379347568234,-0.2977621525776186
2022-03-31,0.2,1.115641476274165,-0.0005207334356605031
2022-04-30,0.33,0.30833512934780316,3.640133638414156
2022-05-31,0.77,0.9484996239963239,-1.1979246120085385
2022-06-30,1.21,1.2561019986405686,2.422184419113016
2022-07-31,1.68,-0.014917428642136077,0.6613051583179264
2022-08-31,2.33,0.062391281496565476,1.4408564218951092
2022-09-30,2.56,0.42426727482827165,3.170791956594954
2022-10-31,3.08,0.5594754832984217,0.08395499846995946
2022-11-30,3.78,0.2614032556282231,-3.2689139843637527
2022-12-31,4.1,0.01539563433359259,-1.7081116892931902
2023-01-31,4.33,0.5314022594635093,-2.034463682827514
2023-02-28,4.57,0.3428533386591992,1.9590804916858495
2023-03-31,4.65,0.12307181953890023,-1.640208557272338
2023-04-30,4.83,0.3392739405144063,-0.11350253749071726
2023-05-31,5.06,0.1614687381333635,1.4500381049047384
2023-06-30,5.08,0.224175331482801,-1.3362004478936207
2023-07-31,5.12,0.1957146710348745,-1.2956328918695803
2023-08-31,5.33,0.4835707415079771,2.017215282995455
2023-09-30,5.33,0.3900915440960384,1.7175013482093604
2023-10-31,5.33,0.13668493471667986,1.2421339005620702
2023-11-30,5.33,0.14689823722116024,-2.9443317826729043
2023-12-31,5.33,0.1924399963653789,-1.5273639128295713
2024-01-31,5.33,0.30996854969052023,1.6850029339087413
2024-02-29,5.33,0.40975401843086345,0.6202436533608413
2024-03-31,5.33,0.4431338373525273,-0.13484641898973138
2024-04-30,5.33,0.21706766556210955,1.6116451655928898
2024-05-31,5.33,0.04855873210594108,-0.7240835069018736
2024-06-30,5.33,-0.041829647960411886,1.7152095851532323
2024-07-31,5.33,0.16770805381991494,-0.46238173851973485
2024-08-31,5.33,0.1572221743858515,-1.0661032372833112
2024-09-30,5.13,0.2133336729690294,-0.8536556109327798
2024-10-31,4.83,0.2856398459641696,2.854814955418483
2024-11-30,4.64,0.28419261732848256,1.4170098812987142
2024-12-31,4.48,0.3399383308901438,2.1088317397047973
